r1,r2,r3,r4,r5,d1,d2,d3,d4,d5,radiant_win
106,53,69,3,21,23,20,74,48,123,True
23,105,22,65,94,49,74,121,86,69,True
1,64,19,22,47,25,98,20,29,105,False
55,58,49,51,1,18,47,20,90,65,True
25,105,55,88,41,29,40,20,97,63,False
96,58,20,10,13,48,123,21,83,107,True
93,5,28,106,123,97,13,114,65,58,False
65,49,96,95,105,55,110,62,46,82,True
106,26,10,29,20,98,48,66,113,86,True
19,13,21,10,110,98,126,3,41,100,True
21,107,40,95,33,18,88,9,57,39,True
21,33,65,48,29,73,20,98,123,23,True
25,105,55,88,41,29,40,20,97,63,False
10,114,103,106,28,102,100,93,13,20,False
48,5,22,135,128,113,49,86,69,33,True
13,66,65,69,44,21,88,12,20,90,False
69,109,20,110,90,33,25,78,123,93,True
106,97,121,75,25,107,1,26,110,49,True
88,20,47,82,93,14,87,86,95,126,True
15,61,1,105,114,128,110,96,88,95,True
97,66,96,105,95,5,123,112,120,82,False
93,26,59,97,123,28,86,110,33,49,False
41,136,3,96,113,138,48,65,128,33,False
70,20,49,128,22,110,112,89,106,136,True
82,26,49,58,76,39,55,41,5,114,False
114,21,41,33,98,110,19,80,32,1,True
15,106,129,20,113,41,26,45,123,78,False
46,20,49,80,19,90,26,33,5,48,False
32,26,83,61,7,59,5,96,101,93,False
65,61,56,49,82,20,136,16,89,98,False
114,121,137,19,110,69,113,105,14,138,False
98,76,86,46,88,114,123,106,31,129,False
18,80,87,123,96,70,35,20,26,98,True
18,80,87,123,96,70,35,20,26,98,True
110,28,73,51,17,69,5,53,49,113,False
107,105,9,95,129,10,26,27,31,96,True
16,123,25,38,105,69,45,120,82,86,False
45,71,86,93,49,113,5,8,101,21,True
49,53,89,105,65,13,62,1,123,47,True
39,111,112,95,137,19,89,58,47,113,False
110,113,28,93,123,62,45,17,49,94,False
48,5,22,135,128,113,49,86,69,33,True
13,47,20,71,93,137,58,65,89,35,True
96,58,113,92,21,120,93,26,97,114,False
120,37,33,19,95,51,49,58,9,114,True
138,56,49,58,43,120,14,78,46,84,False
41,72,129,114,65,88,121,14,137,89,True
